gender,age,education,salary
male,36,PhD,2297
male,55,Associate Prof,1134
male,61,Associate Prof,4969
female,29,Master,902
female,34,Master,3574
female,42,Assistant Prof,2761
male,53,Prof,1484
female,41,Assistant Prof,3809
male,47,Prof,2065
male,31,Master,1020
male,47,Prof,1950
female,40,Assistant Prof,4387
female,41,Assistant Prof,1830
female,46,Prof,2182
male,51,Prof,3460
female,57,Associate Prof,662
male,33,Master,1134
male,41,Assistant Prof,1020
male,46,Prof,779
female,32,Master,3228
female,57,Associate Prof,3228
female,26,Master,1360
male,59,Associate Prof,3460
female,55,Associate Prof,3110
male,51,Prof,1601
male,63,Associate Prof,2414
male,62,Associate Prof,4390
female,37,PhD,1134
female,63,Associate Prof,2414
female,20,Bacholar,3809
male,63,Associate Prof,1252
female,54,Prof,2764
male,58,Associate Prof,662
male,18,School,1484
male,29,Master,1833
female,61,Associate Prof,785
female,51,Prof,2297
female,22,Bacholar,1134
male,36,PhD,670
female,62,Associate Prof,779
male,54,Prof,2182
male,55,Associate Prof,2761
male,55,Associate Prof,2414
female,42,Assistant Prof,556
female,41,Assistant Prof,2646
female,43,Assistant Prof,1601
male,24,Master,2179
female,44,Assistant Prof,1484
male,42,Assistant Prof,2065
male,54,Prof,1950
male,34,Master,902
female,32,Master,1601
female,28,Master,4155
female,18,School,785
male,64,Associate Prof,670
female,44,Assistant Prof,2878
male,56,Associate Prof,2297
male,54,Prof,3806
male,23,Bacholar,4390
female,42,Assistant Prof,4505
female,64,Associate Prof,2300
female,57,Associate Prof,1134
male,20,Bacholar,2297
female,37,PhD,2761
male,45,Assistant Prof,3691
male,45,Assistant Prof,2646
male,27,Master,1366
female,43,Assistant Prof,3342
female,20,Bacholar,1833
female,28,Master,4041
male,60,Associate Prof,1830
female,34,Master,1948
male,21,Bacholar,3225
male,50,Prof,1833
male,31,Master,2414
female,26,Master,3809
female,59,Associate Prof,1716
female,21,Bacholar,2996
male,61,Associate Prof,2182
female,47,Prof,2182
male,30,Master,1830
male,19,Bacholar,2993
male,56,Associate Prof,2646
female,49,Prof,4390
female,39,PhD,1366
female,64,Associate Prof,3228
male,53,Prof,2878
female,28,Master,2646
male,62,Associate Prof,1833
male,57,Associate Prof,670
male,55,Associate Prof,2056
female,25,Master,1484
female,31,Master,4969
female,34,Master,3228
male,47,Prof,1601
female,40,Assistant Prof,1598
male,32,Master,4969
male,32,Master,2646
male,56,Associate Prof,2182
female,19,Bacholar,1484
female,45,Assistant Prof,1484
female,60,Associate Prof,1833
male,37,PhD,1484
female,36,PhD,662
male,59,Associate Prof,2414
male,48,Prof,4622
male,56,Associate Prof,2878
female,52,Prof,1950
female,25,Master,2878
female,51,Prof,1134
male,30,Master,1252
female,46,Prof,2297
male,45,Assistant Prof,2182
male,44,Assistant Prof,1598
male,49,Prof,3228
female,50,Prof,1011
female,26,Master,2761
female,30,Master,902
male,21,Bacholar,1020
female,48,Prof,3113
male,37,PhD,2878
male,28,Master,3228
male,29,Master,3225
female,28,Master,2529
female,64,Associate Prof,894
female,44,Assistant Prof,1020
male,63,Associate Prof,670
female,37,PhD,4158
male,18,School,1598
male,60,Associate Prof,2878
male,22,Bacholar,2182
female,62,Associate Prof,2414
female,58,Associate Prof,1128
female,41,Assistant Prof,2406
male,19,Bacholar,2878
female,21,Bacholar,1017
male,43,Assistant Prof,2529
male,53,Prof,556
male,43,Assistant Prof,1475
female,32,Master,2182
female,43,Assistant Prof,2411
female,26,Master,2996
male,38,PhD,2878
female,62,Associate Prof,667
male,33,Master,1716
male,29,Master,3110
male,46,Prof,3691
female,39,PhD,3342
female,44,Assistant Prof,2065
female,41,Assistant Prof,2646
male,49,Prof,2529
female,58,Associate Prof,1360
male,55,Associate Prof,3923
male,54,Prof,2878
male,51,Prof,1252
female,34,Master,1950
female,19,Bacholar,2065
female,51,Prof,3460
male,44,Assistant Prof,1950
female,30,Master,3228
male,32,Master,1716
male,52,Prof,779
male,33,Master,3228
female,25,Master,3228
female,36,PhD,894
female,27,Master,3923
male,59,Associate Prof,2182
female,38,PhD,662
male,54,Prof,4041
male,58,Associate Prof,2297
male,63,Associate Prof,2993
female,50,Prof,902
female,32,Master,779
female,58,Associate Prof,4622
male,21,Bacholar,902
female,39,PhD,902
male,21,Bacholar,2646
male,31,Master,1475
